Player1|1170|49|2026-04-29 09:24:25
Player2|1020|49|2026-04-29 09:24:25
Player1|750|33|2026-04-29 10:04:22
Player2|800|33|2026-04-29 10:04:22
Player1|30|3|2026-04-29 10:21:04
Player1|70|5|2026-04-29 10:21:11
Player2|70|5|2026-04-29 10:21:11
яяя|20|2|2026-04-29 10:24:42
яяя|140|8|2026-04-29 10:24:48
яяя|20|2|2026-04-29 10:25:04
яяя|180|10|2026-04-29 10:25:12
ссс|670|30|2026-04-29 10:25:48
ссс|650|33|2026-04-29 10:25:51
ф|20|2|2026-04-29 10:32:39
ф|280|10|2026-04-29 10:32:47
ы|220|12|2026-04-29 10:33:07
ы|310|14|2026-04-29 10:33:09
ф|150|6|2026-04-29 10:33:31
ф|280|10|2026-04-29 10:33:46
Player2|180|10|2026-04-29 10:33:46
ф|490|25|2026-04-29 10:34:25
ф|580|30|2026-04-29 10:34:29
